certification_no,plan_date,insurer,plan_name,plan_level_raw,geographical_coverage,geo_tier,ward_restriction,ward_tier,provider_restriction,has_deductible,deductible_amount,coinsurance_pct,cost_tier,lifetime_benefit_limit,lifetime_tier,annual_benefit_limit,room_board_per_day,misc_charges_limit,surgeon_complex_limit,psychiatric_limit,no_sublimits,schedule_tier,overall_tier,fields_missing,scrape_status,source_url
S00012-01-000-03,23 June 2023,Bolttech Insurance (Hong Kong) Company Limited,VChoice Voluntary Health Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00012/S00012-01-000-03-PlanDoc-e.pdf
S00013-01-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Standard Scheme,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00013/S00013-01-000-02-PlanDoc-e.pdf
S00014-01-000-03,26 January 2026,AXA China Region Insurance Company (Hong Kong) Limited,AXA WiseGuard Medical Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00014/S00014-01-000-03-PlanDoc-e.pdf
S00015-01-000-02,1 October 2022,Chubb Life Insurance Company Ltd.,Chubb VHIS - Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00015/S00015-01-000-02-PlanDoc-e.pdf
S00016-01-000-02,1 April 2021,China Taiping Insurance (HK) Company Limited,Taiping Voluntary Health Insurance Scheme Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00016/S00016-01-000-02-PlanDoc-e.pdf
S00017-01-000-02,1 July 2021,Liberty International Insurance Limited,Liberty Insurance Standard VHIS Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00017/S00017-01-000-02-PlanDoc-e.pdf
S00018-01-000-02,1 April 2026,Sun Life Hong Kong Limited,WeHealth,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00018/S00018-01-000-02-PlanDoc-e.pdf
S00019-01-000-03,5 November 2024,Dah Sing Insurance Company Limited,Dah Sing Insurance ADVANTAGE VHIS Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00019/S00019-01-000-03-PlanDoc-e.pdf
S00020-01-000-02,2 March 2026,Bupa (Asia) Limited,Bupa MyBasic VHIS Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00020/S00020-01-000-02-PlanDoc-e.pdf
S00021-01-000-02,1 April 2021,China Life Insurance (Overseas) Company Limited,Guard Your Health Medical Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00021/S00021-01-000-02-PlanDoc-e.pdf
S00022-01-000-02,28 March 2021,BOC Group Life Assurance Company Limited,BOC Life Standard VHIS,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00022/S00022-01-000-02-PlanDoc-e.pdf
S00023-01-000-03,29 December 2025,Bowtie Life Insurance Company Limited,Bowtie VHIS Standard,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00023/S00023-01-000-03-PlanDoc-e.pdf
S00024-01-000-02,19 March 2021,Zurich Insurance Company Ltd,HealthSure Voluntary Health Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00024/S00024-01-000-02-PlanDoc-e.pdf
S00025-01-000-02,1 January 2026,YF Life Insurance International Limited,TaxVantage Medical Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00025/S00025-01-000-02-PlanDoc-e.pdf
S00026-01-000-02,1 October 2025,Prudential Hong Kong Limited,PRUHealth CoreChoice Medical Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00026/S00026-01-000-02-PlanDoc-e.pdf
S00027-01-000-02,1 April 2021,"Asia Insurance Company, Limited",Asia Unique - Family Care,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00027/S00027-01-000-02-PlanDoc-e.pdf
S00028-01-000-03,23 November 2025,Chow Tai Fook Life Insurance Co Ltd,''WiseCare'' Medical Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00028/S00028-01-000-03-PlanDoc-e.pdf
S00029-01-000-02,1 April 2021,MSIG Insurance (Hong Kong) Limited,VHIS Standard Care,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00029/S00029-01-000-02-PlanDoc-e.pdf
S00030-01-000-02,1 April 2021,Allianz Global Corporate & Specialty SE,Allianz Medical Protect,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,420000,,14000,,30000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00030/S00030-01-000-02-PlanDoc-e.pdf
S00031-01-000-02,1 July 2026,CIGNA Worldwide General Insurance Company Limited,Cigna VHIS Series - Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00031/S00031-01-000-02-PlanDoc-e.pdf
S00032-01-000-02,1 January 2026,Blue Cross (Asia-Pacific) Insurance Limited,CareForYou Standard Plan for VHIS,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00032/S00032-01-000-02-PlanDoc-e.pdf
S00033-01-000-02,22 March 2021,AXA China Region Insurance Company Limited,AXA WiseGuard Medical Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00033/S00033-01-000-02-PlanDoc-e.pdf
S00034-01-000-03,29 June 2026,Manulife (International) Limited,Manulife Shelter VHIS Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00034/S00034-01-000-03-PlanDoc-e.pdf
S00035-01-000-02,1 April 2021,Bank of China Group Insurance Company Limited,BOC Standard Voluntary Health Insurance Scheme Certified Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00035/S00035-01-000-02-PlanDoc-e.pdf
S00036-01-000-03,2 February 2026,FWD Life Insurance Company (Bermuda) Limited,vCore Medical Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00036/S00036-01-000-03-PlanDoc-e.pdf
S00037-01-000-02,29 September 2025,Hong Kong Life Insurance Limited,Health Essential Medical Plan - Standard,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00037/S00037-01-000-02-PlanDoc-e.pdf
S00038-01-000-02,22 March 2021,AXA General Insurance Hong Kong Limited,AXA GI WiseGuard Medical Insurance Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00038/S00038-01-000-02-PlanDoc-e.pdf
S00039-01-000-02,7 July 2021,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00039/S00039-01-000-02-PlanDoc-e.pdf
S00040-01-000-02,30 October 2020,Well Link Life Insurance Company Limited,Well Protect Voluntary Health Insurance Scheme (Standard),Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00040/S00040-01-000-02-PlanDoc-e.pdf
S00042-01-000-02,29 March 2021,HSBC Life (International) Limited,HSBC Voluntary Health Insurance Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00042/S00042-01-000-02-PlanDoc-e.pdf
S00043-01-000-01,1 December 2021,Avo Insurance Company Limited,Avo Voluntary Health Insurance Scheme (Standard) Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00043/S00043-01-000-01-PlanDoc-e.pdf
S00044-01-000-03,1 April 2025,Chubb Life Insurance Hong Kong Limited,Chubb VHIS - Standard Plan,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,50000,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00044/S00044-01-000-03-PlanDoc-e.pdf
S00045-01-000-01,21 May 2021,ZA Life Limited,ZA VHIS,Standard Plan,Worldwide,tier1,No restriction,tier1,No restriction,N,0,30,tier1,None,tier1,420000,750,14000,,30000,,tier2,tier1,,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00045/S00045-01-000-01-PlanDoc-e.pdf
F00022-01-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Ward (HKD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,1100,15000,,33000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-01-000-03-PlanDoc-e.pdf
F00022-02-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Semi-private (HKD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,2400,22500,,38000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-02-000-03-PlanDoc-e.pdf
F00022-03-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Standard Private (HKD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,4400,30000,,39600,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-03-000-03-PlanDoc-e.pdf
F00022-04-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Ward (USD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,138,1975,,4340,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-04-000-03-PlanDoc-e.pdf
F00022-05-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Semi-private (USD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,300,2813,,4750,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-05-000-03-PlanDoc-e.pdf
F00022-06-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Standard Private (USD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,550,3750,,4950,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-06-000-03-PlanDoc-e.pdf
F00025-01-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Prime Scheme,HKD0 Deductible,Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00025/F00025-01-000-03-PlanDoc-e.pdf
F00025-02-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Prime Scheme,"HKD16,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00025/F00025-02-000-03-PlanDoc-e.pdf
F00025-03-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Prime Scheme,"HKD25,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00025/F00025-03-000-03-PlanDoc-e.pdf
F00025-04-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Prime Scheme,USD0 Deductible,Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00025/F00025-04-000-03-PlanDoc-e.pdf
F00025-05-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Prime Scheme,"USD2,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00025/F00025-05-000-03-PlanDoc-e.pdf
F00025-06-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Prime Scheme,"USD3,125 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00025/F00025-06-000-03-PlanDoc-e.pdf
F00054-01-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Plus Scheme,HKD0 Deductible,Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00054/F00054-01-000-02-PlanDoc-e.pdf
F00054-02-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Plus Scheme,"HKD16,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00054/F00054-02-000-02-PlanDoc-e.pdf
F00054-03-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Plus Scheme,"HKD25,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00054/F00054-03-000-02-PlanDoc-e.pdf
F00054-04-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Plus Scheme,USD0 Deductible,Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00054/F00054-04-000-02-PlanDoc-e.pdf
F00054-05-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Plus Scheme,"USD2,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00054/F00054-05-000-02-PlanDoc-e.pdf
F00054-06-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Plus Scheme,"USD3,125 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00054/F00054-06-000-02-PlanDoc-e.pdf
F00053-01-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Scheme,HKD0 Deductible,Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00053/F00053-01-000-02-PlanDoc-e.pdf
F00053-02-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Scheme,"HKD16,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00053/F00053-02-000-02-PlanDoc-e.pdf
F00053-03-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Scheme,"HKD25,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00053/F00053-03-000-02-PlanDoc-e.pdf
F00053-04-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Scheme,USD0 Deductible,Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00053/F00053-04-000-02-PlanDoc-e.pdf
F00053-05-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Scheme,"USD2,000 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00053/F00053-05-000-02-PlanDoc-e.pdf
F00053-06-000-02,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Scheme,"USD3,125 Deductible",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00053/F00053-06-000-02-PlanDoc-e.pdf
F00074-01-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,HKD0 Deductible (Asia),Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-01-000-01-PlanDoc-e.pdf
F00074-02-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"HKD16,000 Deductible (Asia)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-02-000-01-PlanDoc-e.pdf
F00074-03-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"HKD25,000 Deductible (Asia)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-03-000-01-PlanDoc-e.pdf
F00074-04-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"HKD50,000 Deductible (Asia)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-04-000-01-PlanDoc-e.pdf
F00074-05-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,HKD0 Deductible  (Worldwide except USA),Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-05-000-01-PlanDoc-e.pdf
F00074-06-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"HKD16,000 Deductible  (Worldwide except USA)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-06-000-01-PlanDoc-e.pdf
F00074-07-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"HKD25,000 Deductible (Worldwide except USA)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-07-000-01-PlanDoc-e.pdf
F00074-08-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"HKD50,000 Deductible (Worldwide except USA)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-08-000-01-PlanDoc-e.pdf
F00074-09-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,USD0 Deductible (Asia),Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-09-000-01-PlanDoc-e.pdf
F00074-10-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"USD2,000 Deductible (Asia)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-10-000-01-PlanDoc-e.pdf
F00074-11-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"USD3,125 Deductible (Asia)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-11-000-01-PlanDoc-e.pdf
F00074-12-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"USD6,250 Deductible (Asia)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-12-000-01-PlanDoc-e.pdf
F00074-13-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,USD0 Deductible (Worldwide except USA),Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-13-000-01-PlanDoc-e.pdf
F00074-14-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"USD2,000 Deductible (Worldwide except USA)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-14-000-01-PlanDoc-e.pdf
F00074-15-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"USD3,125 Deductible (Worldwide except USA)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-15-000-01-PlanDoc-e.pdf
F00074-16-000-01,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Privilege Ultra Scheme,"USD6,250 Deductible (Worldwide except USA)",Limited (see doc),tier2,Restricted (see doc),tier2,No restriction,Y,,30,tier1,Capped (see doc),tier2,420000,750,14000,50000,30000,,tier2,tier2,,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00074/F00074-16-000-01-PlanDoc-e.pdf
